run,CHF3,P,B,ER,UT,MD,THETA
1,20.0,15.0,75.0,317.024,1.687,1.229,90.251
2,20.0,15.0,90.0,347.8,1.391,3.004,90.296
3,20.0,15.0,105.0,394.252,1.093,4.859,90.293
4,20.0,30.0,75.0,302.203,3.064,0.774,88.521
5,20.0,30.0,90.0,325.245,2.509,2.22,88.773
6,20.0,30.0,105.0,365.989,2.199,4.295,88.63
7,20.0,45.0,75.0,280.139,3.969,0.0,87.052
8,20.0,45.0,90.0,315.419,3.812,1.55,87.122
9,20.0,45.0,105.0,354.416,3.563,3.424,87.117
10,25.0,15.0,75.0,296.235,0.889,1.538,90.85
11,25.0,15.0,90.0,342.397,0.516,3.357,90.735
12,25.0,15.0,105.0,379.389,0.218,5.169,90.687
13,25.0,30.0,75.0,282.83,2.165,0.648,89.088
14,25.0,30.0,90.0,325.636,1.874,2.431,88.847
15,25.0,30.0,105.0,359.838,1.554,4.429,88.883
16,25.0,45.0,75.0,260.204,3.233,0.0,87.252
17,25.0,45.0,90.0,303.844,3.023,1.559,87.3
18,25.0,45.0,105.0,334.706,2.712,3.38,87.51
19,30.0,15.0,75.0,289.892,0.172,1.462,91.014
20,30.0,15.0,90.0,322.75,0.0,3.475,91.093
21,30.0,15.0,105.0,359.576,0.0,5.221,91.345
22,30.0,30.0,75.0,264.095,1.418,0.954,89.447
23,30.0,30.0,90.0,311.113,1.057,2.586,89.611
24,30.0,30.0,105.0,341.727,0.779,4.474,89.36
25,30.0,45.0,75.0,247.358,2.613,0.194,87.819
26,30.0,45.0,90.0,285.239,2.104,1.854,87.707
27,30.0,45.0,105.0,327.162,1.918,3.769,87.799
