response,term,coef,p_value,r_squared
ER,const,202.4852,2.07e-18,0.989
ER,CHF3,-2.8175,5.06e-13,0.989
ER,P,-1.2623,9.28e-16,0.989
ER,B,2.5077,2.1e-22,0.989
UT,const,4.9019,4.79e-17,0.9915
UT,CHF3,-0.147,6.41e-19,0.9915
UT,P,0.0777,1.94e-23,0.9915
UT,B,-0.0192,2.7e-10,0.9915
MD,const,-7.4495,7.18e-21,0.9953
MD,CHF3,0.0293,2.52e-05,0.9953
MD,P,-0.0503,6.02e-19,0.9953
MD,B,0.1193,1.88e-27,0.9953
THETA,const,90.2793,6.26e-46,0.9942
THETA,CHF3,0.0793,4.16e-13,0.9942
THETA,P,-0.1107,6.06e-27,0.9942
THETA,B,0.0012,0.507,0.9942
