lot,CHF3,P,B,ER,UT,MD,THETA
1,25.0,15,79,308.211,0.797,1.775,90.65
2,25.0,15,79,307.386,0.638,2.048,90.646
3,25.0,15,79,311.176,0.82,1.931,90.795
4,25.0,15,79,314.72,0.781,2.079,90.787
5,25.0,15,79,309.758,0.773,1.885,90.904
6,25.0,15,79,311.812,0.756,1.959,90.814
7,25.0,15,79,313.158,0.735,1.919,90.882
8,25.0,15,79,313.949,0.783,1.895,90.709
9,25.0,15,79,306.041,0.639,2.154,90.69
10,25.0,15,79,312.844,0.705,2.061,90.507
11,25.0,15,79,310.411,0.787,1.99,90.64
12,25.0,15,79,307.493,0.896,1.719,90.485
13,25.0,15,79,307.112,0.866,1.822,90.615
14,25.0,15,79,309.364,1.005,1.928,90.966
15,25.0,15,79,305.532,0.941,2.013,90.777
16,25.0,15,79,303.205,0.634,1.668,90.75
17,25.0,15,79,310.819,0.873,2.049,90.726
18,25.0,15,79,314.373,0.918,1.755,90.667
19,25.0,15,79,309.294,0.843,1.741,90.73
20,25.0,15,79,314.2,0.634,2.08,90.896
21,25.0,15,79,308.5,0.784,1.831,90.585
22,25.0,15,79,305.523,0.738,1.972,90.646
23,25.0,15,79,302.889,0.857,2.071,90.604
24,25.0,15,79,306.399,0.935,2.011,90.691
25,25.0,15,79,317.766,0.884,1.755,91.138
